IDMesa,Freguesia,Partido,Votos Assembleia
79,Uniao de Freguesias de Setubal,Partido F,158
79,Uniao de Freguesias de Setubal,Partido C,221
79,Uniao de Freguesias de Setubal,Partido E,34
80,Uniao de Freguesias de Setubal,Partido A,140
80,Uniao de Freguesias de Setubal,Partido G,16
80,Uniao de Freguesias de Setubal,Partido F,152
80,Uniao de Freguesias de Setubal,Partido C,227
80,Uniao de Freguesias de Setubal,Partido E,37
81,Uniao de Freguesias de Setubal,Partido A,167
81,Uniao de Freguesias de Setubal,Partido G,23
81,Uniao de Freguesias de Setubal,Partido F,120
81,Uniao de Freguesias de Setubal,Partido C,195
81,Uniao de Freguesias de Setubal,Partido E,28
82,Uniao de Freguesias de Setubal,Partido A,156
82,Uniao de Freguesias de Setubal,Partido G,13
82,Uniao de Freguesias de Setubal,Partido F,99
82,Uniao de Freguesias de Setubal,Partido C,175
82,Uniao de Freguesias de Setubal,Partido E,37
83,Uniao de Freguesias de Setubal,Partido A,146
83,Uniao de Freguesias de Setubal,Partido G,24
83,Uniao de Freguesias de Setubal,Partido F,111
83,Uniao de Freguesias de Setubal,Partido C,220
83,Uniao de Freguesias de Setubal,Partido E,34
84,Uniao de Freguesias de Setubal,Partido A,151
84,Uniao de Freguesias de Setubal,Partido G,24
84,Uniao de Freguesias de Setubal,Partido F,108
84,Uniao de Freguesias de Setubal,Partido C,233
84,Uniao de Freguesias de Setubal,Partido E,47
85,Uniao de Freguesias de Setubal,Partido A,141
85,Uniao de Freguesias de Setubal,Partido G,42
85,Uniao de Freguesias de Setubal,Partido F,119
85,Uniao de Freguesias de Setubal,Partido C,247
85,Uniao de Freguesias de Setubal,Partido E,56
86,Uniao de Freguesias de Setubal,Partido A,115
86,Uniao de Freguesias de Setubal,Partido G,29
86,Uniao de Freguesias de Setubal,Partido F,90
86,Uniao de Freguesias de Setubal,Partido C,278
86,Uniao de Freguesias de Setubal,Partido E,43
87,Uniao de Freguesias de Setubal,Partido A,84
87,Uniao de Freguesias de Setubal,Partido G,9
87,Uniao de Freguesias de Setubal,Partido F,53
87,Uniao de Freguesias de Setubal,Partido C,135
87,Uniao de Freguesias de Setubal,Partido E,24
88,Uniao de Freguesias de Azeitao,Partido G,2
88,Uniao de Freguesias de Azeitao,Partido C,88
