IDMesa,Freguesia,Partido,Votos Junta
63,Uniao de Freguesias de Setubal,Partido G,4
64,Uniao de Freguesias de Setubal,Partido A,211
64,Uniao de Freguesias de Setubal,Partido E,58
64,Uniao de Freguesias de Setubal,Partido C,187
64,Uniao de Freguesias de Setubal,Partido F,239
64,Uniao de Freguesias de Setubal,Partido G,7
65,Uniao de Freguesias de Setubal,Partido A,183
65,Uniao de Freguesias de Setubal,Partido E,43
65,Uniao de Freguesias de Setubal,Partido C,198
65,Uniao de Freguesias de Setubal,Partido F,180
65,Uniao de Freguesias de Setubal,Partido G,12
66,Uniao de Freguesias de Setubal,Partido A,144
66,Uniao de Freguesias de Setubal,Partido E,37
66,Uniao de Freguesias de Setubal,Partido C,230
66,Uniao de Freguesias de Setubal,Partido F,134
66,Uniao de Freguesias de Setubal,Partido G,21
67,Uniao de Freguesias de Setubal,Partido A,94
67,Uniao de Freguesias de Setubal,Partido E,42
67,Uniao de Freguesias de Setubal,Partido C,293
67,Uniao de Freguesias de Setubal,Partido F,223
67,Uniao de Freguesias de Setubal,Partido G,12
68,Uniao de Freguesias de Setubal,Partido A,84
68,Uniao de Freguesias de Setubal,Partido E,33
68,Uniao de Freguesias de Setubal,Partido C,220
68,Uniao de Freguesias de Setubal,Partido F,135
68,Uniao de Freguesias de Setubal,Partido G,7
69,Uniao de Freguesias de Setubal,Partido A,69
69,Uniao de Freguesias de Setubal,Partido E,35
69,Uniao de Freguesias de Setubal,Partido C,195
69,Uniao de Freguesias de Setubal,Partido F,94
69,Uniao de Freguesias de Setubal,Partido G,16
70,Uniao de Freguesias de Setubal,Partido A,62
70,Uniao de Freguesias de Setubal,Partido E,27
70,Uniao de Freguesias de Setubal,Partido C,322
70,Uniao de Freguesias de Setubal,Partido F,246
70,Uniao de Freguesias de Setubal,Partido G,12
71,Uniao de Freguesias de Setubal,Partido A,59
71,Uniao de Freguesias de Setubal,Partido E,28
71,Uniao de Freguesias de Setubal,Partido C,270
71,Uniao de Freguesias de Setubal,Partido F,162
71,Uniao de Freguesias de Setubal,Partido G,9
72,Uniao de Freguesias de Setubal,Partido A,35
72,Uniao de Freguesias de Setubal,Partido E,17
72,Uniao de Freguesias de Setubal,Partido C,174
72,Uniao de Freguesias de Setubal,Partido F,91
72,Uniao de Freguesias de Setubal,Partido G,10
73,Uniao de Freguesias de Setubal,Partido A,97
73,Uniao de Freguesias de Setubal,Partido E,42
73,Uniao de Freguesias de Setubal,Partido C,333
73,Uniao de Freguesias de Setubal,Partido F,179
73,Uniao de Freguesias de Setubal,Partido G,19
74,Uniao de Freguesias de Setubal,Partido A,144
74,Uniao de Freguesias de Setubal,Partido G,8
74,Uniao de Freguesias de Setubal,Partido F,157
74,Uniao de Freguesias de Setubal,Partido C,173
74,Uniao de Freguesias de Setubal,Partido E,33
75,Uniao de Freguesias de Setubal,Partido A,173
75,Uniao de Freguesias de Setubal,Partido G,15
75,Uniao de Freguesias de Setubal,Partido F,124
75,Uniao de Freguesias de Setubal,Partido C,162
75,Uniao de Freguesias de Setubal,Partido E,37
76,Uniao de Freguesias de Setubal,Partido A,30
76,Uniao de Freguesias de Setubal,Partido G,5
76,Uniao de Freguesias de Setubal,Partido F,28
76,Uniao de Freguesias de Setubal,Partido C,53
76,Uniao de Freguesias de Setubal,Partido E,6
77,Uniao de Freguesias de Setubal,Partido A,204
77,Uniao de Freguesias de Setubal,Partido G,8
77,Uniao de Freguesias de Setubal,Partido F,152
77,Uniao de Freguesias de Setubal,Partido C,194
77,Uniao de Freguesias de Setubal,Partido E,61
78,Uniao de Freguesias de Setubal,Partido A,118
78,Uniao de Freguesias de Setubal,Partido G,19
78,Uniao de Freguesias de Setubal,Partido F,108
78,Uniao de Freguesias de Setubal,Partido C,185
78,Uniao de Freguesias de Setubal,Partido E,38
79,Uniao de Freguesias de Setubal,Partido A,229
79,Uniao de Freguesias de Setubal,Partido G,15
79,Uniao de Freguesias de Setubal,Partido F,159
79,Uniao de Freguesias de Setubal,Partido C,214
79,Uniao de Freguesias de Setubal,Partido E,31
80,Uniao de Freguesias de Setubal,Partido A,153
80,Uniao de Freguesias de Setubal,Partido G,14
80,Uniao de Freguesias de Setubal,Partido F,155
80,Uniao de Freguesias de Setubal,Partido C,216
80,Uniao de Freguesias de Setubal,Partido E,35
81,Uniao de Freguesias de Setubal,Partido A,185
81,Uniao de Freguesias de Setubal,Partido G,21
81,Uniao de Freguesias de Setubal,Partido F,131
81,Uniao de Freguesias de Setubal,Partido C,178
81,Uniao de Freguesias de Setubal,Partido E,17
82,Uniao de Freguesias de Setubal,Partido A,160
82,Uniao de Freguesias de Setubal,Partido G,14
82,Uniao de Freguesias de Setubal,Partido F,113
82,Uniao de Freguesias de Setubal,Partido C,156
82,Uniao de Freguesias de Setubal,Partido E,38
83,Uniao de Freguesias de Setubal,Partido A,161
83,Uniao de Freguesias de Setubal,Partido G,23
83,Uniao de Freguesias de Setubal,Partido F,115
83,Uniao de Freguesias de Setubal,Partido C,205
83,Uniao de Freguesias de Setubal,Partido E,34
84,Uniao de Freguesias de Setubal,Partido A,163
84,Uniao de Freguesias de Setubal,Partido G,20
84,Uniao de Freguesias de Setubal,Partido F,126
84,Uniao de Freguesias de Setubal,Partido C,205
84,Uniao de Freguesias de Setubal,Partido E,48
85,Uniao de Freguesias de Setubal,Partido A,158
85,Uniao de Freguesias de Setubal,Partido G,33
85,Uniao de Freguesias de Setubal,Partido F,128
85,Uniao de Freguesias de Setubal,Partido C,233
85,Uniao de Freguesias de Setubal,Partido E,49
86,Uniao de Freguesias de Setubal,Partido A,129
