IDMesa,Freguesia,Partido,Votos Camara
66,Uniao de Freguesias de Setubal,Partido E,27
66,Uniao de Freguesias de Setubal,Partido C,298
66,Uniao de Freguesias de Setubal,Partido F,108
66,Uniao de Freguesias de Setubal,Partido G,8
66,Uniao de Freguesias de Setubal,Partido B,7
66,Uniao de Freguesias de Setubal,Partido D,2
67,Uniao de Freguesias de Setubal,Partido A,87
67,Uniao de Freguesias de Setubal,Partido E,26
67,Uniao de Freguesias de Setubal,Partido C,325
67,Uniao de Freguesias de Setubal,Partido F,200
67,Uniao de Freguesias de Setubal,Partido G,9
67,Uniao de Freguesias de Setubal,Partido B,16
67,Uniao de Freguesias de Setubal,Partido D,2
68,Uniao de Freguesias de Setubal,Partido A,71
68,Uniao de Freguesias de Setubal,Partido E,23
68,Uniao de Freguesias de Setubal,Partido C,268
68,Uniao de Freguesias de Setubal,Partido F,102
68,Uniao de Freguesias de Setubal,Partido G,6
68,Uniao de Freguesias de Setubal,Partido B,4
68,Uniao de Freguesias de Setubal,Partido D,2
69,Uniao de Freguesias de Setubal,Partido A,61
69,Uniao de Freguesias de Setubal,Partido E,24
69,Uniao de Freguesias de Setubal,Partido C,248
69,Uniao de Freguesias de Setubal,Partido F,61
69,Uniao de Freguesias de Setubal,Partido G,8
69,Uniao de Freguesias de Setubal,Partido B,4
69,Uniao de Freguesias de Setubal,Partido D,1
70,Uniao de Freguesias de Setubal,Partido A,63
70,Uniao de Freguesias de Setubal,Partido E,10
70,Uniao de Freguesias de Setubal,Partido C,353
70,Uniao de Freguesias de Setubal,Partido F,220
70,Uniao de Freguesias de Setubal,Partido G,9
70,Uniao de Freguesias de Setubal,Partido B,12
70,Uniao de Freguesias de Setubal,Partido D,1
71,Uniao de Freguesias de Setubal,Partido A,60
71,Uniao de Freguesias de Setubal,Partido E,18
71,Uniao de Freguesias de Setubal,Partido C,305
71,Uniao de Freguesias de Setubal,Partido F,130
71,Uniao de Freguesias de Setubal,Partido G,4
71,Uniao de Freguesias de Setubal,Partido B,7
71,Uniao de Freguesias de Setubal,Partido D,3
72,Uniao de Freguesias de Setubal,Partido A,29
72,Uniao de Freguesias de Setubal,Partido E,11
